NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
depok,cimanggis,42.069,60.785,40.2,74.634,Built-up,0.299,0.278,39.122,2020,10,0,-6.3677,106.8694
jakarta timur,makasar,9.082,16.449,37.07,25.658,Built-up,0.437,0.16,38.075,2021,7,0,-6.2663,106.8911
bekasi,babelan,11.975,35.408,31.64,3.768,Cropland,0.498,0.07,33.627,2024,6,0,-6.1257,107.0341
jakarta selatan,kebayoranbaru,30.577,65.033,38.52,22.272,Built-up,0.314,0.16,38.859,2023,11,0,-6.2447,106.8014
bogor,jonggol,55.06,72.68,30.01,186.743,Tree cover,0.665,2.153,39.015,2024,2,0,-6.4961,107.0456
jakarta utara,pademangan,10.991,20.161,34.89,3.198,Built-up,0.303,0.104,35.597,2021,7,0,-6.1301,106.8381
jakarta pusat,tanahabang,16.287,37.105,43.28,12.45,Built-up,0.291,0.13,37.655,2020,11,0,-6.2054,106.8094
jakarta barat,cengkareng,11.32,28.467,37.22,5.286,Built-up,0.239,0.059,34.34,2024,9,0,-6.1515,106.7369
tangerang,kresek,41.655,104.819,31.76,11.706,Cropland,0.52,0.093,36.172,2022,9,0,-6.1444,106.4044
tangerang,sepatan,16.878,47.196,31.85,8.849,Built-up,0.468,0.052,34.437,2024,7,0,-6.1183,106.5801
tangerang,jayanti,30.139,63.775,34.48,18.626,Tree cover,0.529,0.144,37.276,2023,4,0,-6.2068,106.3983
jakarta selatan,pancoran,20.61,41.479,36.27,25.372,Built-up,0.329,0.19,39.588,2022,6,0,-6.2553,106.8436
depok,bojongsari,38.512,82.291,36.11,87.016,Built-up,0.401,0.265,40.434,2023,1,0,-6.3943,106.7378
jakarta utara,tanjungpriok,14.938,42.11,35.15,4.06,Built-up,0.239,0.101,35.75,2022,7,0,-6.1319,106.875
bogor,cijeruk,62.094,93.317,25.43,717.352,Tree cover,0.7,7.732,37.638,2022,3,0,-6.686,106.7843
tangerang selatan,serpongutara,26.607,50.283,35.43,26.59,Built-up,0.392,0.18,36.406,2022,8,0,-6.2536,106.663
bekasi,setu,10.071,20.509,38.39,51.932,Tree cover,0.42,0.202,19.311,2023,10,0,-6.3462,106.6764
jakarta selatan,mampangprapatan,21.038,42.771,36.15,21.604,Built-up,0.283,0.146,36.994,2022,8,0,-6.2523,106.821
tangerang,kelapadua,39.067,60.86,38.37,27.206,Built-up,0.453,0.146,39.498,2020,3,0,-6.2426,106.6094
kota tangerang,jatiuwung,26.22,66.255,37.96,20.101,Built-up,0.314,0.172,37.33,2021,4,0,-6.198,106.5753
tangerang,rajeg,40.3,66.257,37.36,8.659,Cropland,0.433,0.105,37.682,2022,10,0,-6.1163,106.5103
kota bekasi,bekasiselatan,30.692,67.601,37.97,22.99,Built-up,0.149,0.103,40.355,2022,12,0,-6.2582,106.9778
jakarta utara,tanjungpriok,10.33,20.871,36.16,4.06,Built-up,0.217,0.101,35.698,2021,8,0,-6.1319,106.875
bogor,babakanmadang,25.846,49.686,29.56,501.913,Tree cover,0.68,5.001,34.668,2021,8,0,-6.5917,106.902
tangerang,jambe,46.247,79.039,30.7,43.823,Tree cover,0.622,0.302,35.505,2022,8,0,-6.3238,106.4992
tangerang,pakuhaji,50.652,104.886,31.43,3.922,Cropland,0.244,0.061,38.16,2024,1,0,-6.0602,106.6063
bogor,leuwiliang,47.146,81.041,29.44,556.464,Tree cover,0.468,3.837,37.832,2022,2,0,-6.6402,106.6099
kota bekasi,rawalumbu,28.075,40.54,41.04,27.96,Built-up,0.285,0.131,40.214,2021,3,0,-6.2812,106.9942
jakarta utara,pademangan,71.534,158.694,40.24,3.198,Built-up,0.153,0.104,38.225,2024,1,0,-6.1301,106.8381
kota bogor,bogorselatan,77.586,198.208,32.17,368.391,Tree cover,0.564,1.807,31.504,2024,9,0,-6.6447,106.8135
bogor,rumpin,51.39,92.13,31.11,152.23,Tree cover,0.752,1.981,39.865,2023,4,0,-6.4596,106.6311
bogor,gunungsindur,72.26,118.496,32.11,72.997,Tree cover,0.645,0.372,40.935,2022,10,0,-6.3871,106.6872
tangerang selatan,ciputat,2.389,3.021,38.13,44.431,Built-up,0.326,0.212,23.161,2023,9,0,-6.3082,106.7277
kota bogor,tanahsareal,45.896,144.892,33.65,184.459,Built-up,0.46,0.639,35.756,2023,6,0,-6.5468,106.7855
jakarta pusat,kemayoran,71.921,120.964,39.51,6.168,Built-up,0.134,0.103,37.605,2020,1,0,-6.1627,106.8558
tangerang,cisoka,38.915,56.768,32.0,26.713,Tree cover,0.616,0.26,37.243,2022,4,0,-6.2598,106.4167
depok,cilodong,28.679,56.472,33.05,106.017,Built-up,0.455,0.295,39.253,2024,6,0,-6.4303,106.8379
tangerang selatan,pondokaren,14.581,34.128,35.96,28.61,Built-up,0.382,0.18,35.994,2020,7,0,-6.2664,106.7114
bekasi,kedungwaringin,13.198,26.85,32.64,10.722,Cropland,0.607,0.076,34.969,2021,7,0,-6.2516,107.2483
bogor,tenjolaya,49.565,87.604,25.76,736.012,Tree cover,0.694,6.928,38.066,2022,6,0,-6.6537,106.708
kota bekasi,pondokmelati,27.649,57.091,37.12,38.409,Built-up,0.439,0.242,40.53,2021,4,0,-6.3095,106.9282
bekasi,sukatani,11.541,34.564,34.59,9.292,Cropland,0.413,0.08,36.144,2023,12,0,-6.1918,107.1559
bogor,pamijahan,37.858,149.765,26.55,827.34,Tree cover,0.697,5.169,32.836,2020,8,0,-6.6933,106.6596
bogor,gunungsindur,22.016,97.656,33.76,72.997,Tree cover,0.606,0.372,31.898,2020,8,0,-6.3871,106.6872
jakarta pusat,sawahbesar,24.841,41.996,39.69,7.059,Built-up,0.16,0.09,38.017,2021,3,0,-6.1539,106.8332
bogor,cijeruk,87.165,154.195,29.28,717.352,Tree cover,0.565,7.732,38.036,2020,11,0,-6.686,106.7843
kota tangerang,benda,35.344,89.88,38.52,8.372,Built-up,0.267,0.098,37.087,2023,1,0,-6.13,106.6657
kota tangerang,neglasari,31.143,52.686,36.82,11.542,Built-up,0.44,0.072,37.059,2022,3,0,-6.1429,106.6302
