long,lat,avg_rainfall,elevation,slope,banjir,distance_to_river
106.902,-6.5917,64.775,501.913,5.001,1,284.6465513172548
106.7927,-6.4774,68.241,133.589,0.293,1,764.8617217452473
106.866,-6.7366,56.423,765.651,4.954,0,4.4280667939499905
107.1371,-6.5273,60.034,143.845,2.107,0,175.7392607015629
106.698,-6.5742,66.38,212.619,1.34,0,630.5445831117742
106.8937,-6.7091,60.033,925.94,6.501,0,57.45252147215423
106.8354,-6.4839,64.197,134.037,0.322,1,389.9595388196091
106.661,-6.5761,62.757,236.566,1.249,0,1121.6372193028983
106.8128,-6.7461,53.486,688.475,4.624,0,509.668238902938
106.5461,-6.4937,61.41,309.2,3.666,1,0.27115852332148177
106.7843,-6.686,58.342,717.352,7.732,1,1666.5594906227634
106.9962,-6.4094,64.843,69.866,0.251,1,1669.2916965374734
106.762,-6.6095,62.066,268.719,1.946,0,387.3429527654535
106.9552,-6.6985,63.041,1216.752,7.714,1,719.8017858919534
106.6785,-6.4556,67.344,99.044,0.396,0,256.3417935769308
106.8924,-6.525,63.408,229.087,2.772,0,463.3247561431706
106.7298,-6.5888,67.843,248.285,1.71,0,835.3896446523662
106.9313,-6.4052,61.733,81.462,0.389,1,1430.139073134646
106.6872,-6.3871,64.373,72.997,0.372,0,774.9482459438234
106.4559,-6.4806,60.105,163.412,1.993,1,198.18039487547864
107.0456,-6.4961,63.913,186.743,2.153,0,48.66764315853484
106.9553,-6.483,60.879,203.856,3.061,0,2098.856483552257
106.7345,-6.5025,73.8,143.048,0.625,0,587.3045654427688
106.6099,-6.6402,56.389,556.464,3.837,0,86.15466504432067
106.5877,-6.5736,60.978,306.672,4.096,0,102.84012245999705
106.9177,-6.6635,62.553,877.32,5.463,0,98.79676463119719
106.5377,-6.6725,53.716,848.241,5.957,0,12.896941291171036
106.6596,-6.6933,51.12,827.34,5.169,0,114.1825523257461
106.7128,-6.4349,69.557,104.116,0.338,0,2304.924744457377
106.5551,-6.3768,63.059,65.388,0.569,1,1675.2302846285786
106.7137,-6.5217,74.872,144.929,0.575,0,2089.4501619710913
106.6311,-6.4596,62.989,152.23,1.981,1,317.48630373750507
106.4705,-6.6313,56.527,847.126,5.604,1,1087.7434163017613
107.0201,-6.5936,63.401,641.209,5.807,0,411.3863005949038
106.8408,-6.5792,63.274,276.337,1.706,1,244.7756741173207
106.7596,-6.469,69.737,128.261,0.34,0,2550.0870300427364
106.7458,-6.6564,57.57,715.585,6.987,0,338.4596447880864
107.1406,-6.6115,60.344,362.528,5.549,0,619.5848448214255
106.4794,-6.3723,61.851,60.385,0.368,0,1883.9864724605507
106.708,-6.6537,56.293,736.012,6.928,0,477.07831379959975
106.7655,-6.5732,66.278,207.937,0.658,0,60.918704291250236
106.8135,-6.6447,59.53,368.391,1.807,0,185.05797319507033
106.7986,-6.5932,63.374,250.378,0.88,0,171.9050406033726
106.8264,-6.6207,60.215,322.856,1.429,0,231.05214869975788
106.8196,-6.5708,61.007,209.387,0.831,0,457.35684155287953
106.7855,-6.5468,68.492,184.459,0.639,0,282.77300190517974
106.6703,-6.1618,69.069,10.341,0.068,0,201.05312454005497
106.6657,-6.13,68.23,8.372,0.098,0,609.8835456028667
106.608,-6.2058,63.479,19.751,0.128,0,18.359304397244962
106.7059,-6.2386,64.651,21.279,0.132,0,52.92047470094894
106.683,-6.1862,68.831,11.897,0.115,1,1944.468475518398
106.5753,-6.198,64.4,20.101,0.172,0,2139.583716666673
106.7097,-6.2101,65.308,13.076,0.156,1,1402.021578806521
106.618,-6.1812,68.189,16.788,0.102,0,1126.688337172804
106.733,-6.2392,65.388,21.351,0.155,0,1314.217846289159
106.6302,-6.1429,68.355,11.542,0.072,0,505.59863863967496
106.5943,-6.1675,65.916,12.531,0.129,0,956.4801386605596
106.6662,-6.2153,63.445,19.041,0.132,0,1332.613455274447
106.6406,-6.1888,66.82,17.193,0.112,0,697.3645254799796
106.7277,-6.3082,60.294,44.431,0.212,1,928.0243218934455
106.7556,-6.2988,62.359,41.355,0.245,1,823.1127279155304
106.7391,-6.3395,61.733,59.039,0.233,1,299.9868312382835
106.7114,-6.2664,58.452,28.61,0.18,1,671.9832903425802
106.6807,-6.3113,61.381,42.596,0.214,0,20.007395441450395
106.663,-6.2536,60.591,26.59,0.18,0,1568.8127079371454
107.0373,-6.3637,62.823,54.164,0.359,0,3079.501085374176
106.4427,-6.2048,67.503,20.277,0.173,0,832.3261190109042
106.5159,-6.218,65.828,25.2,0.147,0,3310.538732446854
106.6302,-6.3391,61.139,51.37,0.313,0,948.5204416270518
106.4167,-6.2598,63.767,26.713,0.26,1,2271.662548743488
106.5661,-6.2426,62.064,30.753,0.142,1,1742.726271129456
106.3742,-6.0957,68.245,8.194,0.068,0,995.6914329570386
106.4992,-6.3238,61.947,43.823,0.302,1,708.28564823453
106.3983,-6.2068,68.243,18.626,0.144,1,2218.0362929771586
106.6094,-6.2426,60.938,27.206,0.146,1,454.5520874206531
106.4638,-6.0878,69.243,5.064,0.09,0,1614.6706835904163
106.685,-6.0809,71.976,3.034,0.058,0,1377.6110504791309
106.4044,-6.1444,67.886,11.706,0.093,1,137.37630984036971
106.4282,-6.0703,68.633,4.048,0.069,0,1960.0688043978532
106.565,-6.3048,60.979,43.009,0.179,1,1836.1530200712316
106.5207,-6.058,68.675,3.228,0.07,0,1132.59339092306
106.3871,-6.062,67.515,4.93,0.066,0,798.9621055977955
106.6175,-6.2973,59.04,39.721,0.198,0,1038.786026135561
106.6063,-6.0602,71.044,3.922,0.061,1,503.8017251096299
106.5262,-6.2789,62.447,36.953,0.192,0,1582.0819138245686
106.5525,-6.1589,66.088,14.061,0.127,1,614.9069215915627
106.5103,-6.1163,68.517,8.659,0.105,0,373.8893485460378
106.5801,-6.1183,66.904,8.849,0.052,0,1091.057905404612
106.6084,-6.1199,67.557,9.449,0.066,1,916.454062757119
106.4989,-6.1689,67.486,17.038,0.132,0,568.4598048288796
106.4215,-6.3069,61.352,39.539,0.297,1,2524.229297799082
106.559,-6.0699,69.364,4.864,0.063,0,266.96168299558474
106.4362,-6.1604,66.969,14.287,0.136,0,2815.261621307878
106.6582,-6.0499,73.084,3.313,0.071,1,598.902537630756
106.4673,-6.2657,63.672,29.506,0.225,1,384.36506728912985
106.819,-6.3731,63.756,78.676,0.279,0,1010.3255532361796
106.7378,-6.3943,64.924,87.016,0.265,0,64.79972732283798
106.8379,-6.4303,64.502,106.017,0.295,0,451.43138592249755
106.8694,-6.3677,62.814,74.634,0.278,0,827.1185648826018
106.7894,-6.3315,64.617,54.274,0.287,0,60.65539031918874
106.9036,-6.3253,65.375,106.638,0.3,0,381.55042287867894
106.7808,-6.3686,63.159,73.923,0.284,0,118.56773895142501
106.7998,-6.3984,64.492,89.403,0.285,0,325.5625875728379
106.7641,-6.4067,64.564,91.287,0.296,0,35.63224250458706
106.8436,-6.3973,63.867,88.001,0.34,0,217.23618886243847
106.8805,-6.4192,62.345,98.048,0.278,0,159.68773965255582
107.0341,-6.1257,72.391,3.768,0.07,1,338.0260229356006
107.1778,-6.4389,57.008,48.869,0.584,0,2675.4005398419704
107.1363,-6.0781,69.763,3.757,0.053,0,417.63926939343503
107.1108,-6.434,63.774,52.034,0.394,0,249.343588038481
107.1004,-6.2357,61.963,14.027,0.106,1,566.3099872703621
107.0941,-6.2973,61.979,29.644,0.174,1,1664.4791042479408
107.1836,-6.3596,47.662,34.68,0.347,1,2615.679165470408
107.1279,-6.3385,56.984,41.443,0.306,1,2006.3692072653555
107.209,-6.2885,45.702,15.164,0.085,1,812.1988572778864
107.1556,-6.2754,54.51,17.902,0.13,1,24.65948306478253
107.197,-6.2172,55.15,10.334,0.08,0,629.688996239408
107.2483,-6.2516,50.373,10.722,0.076,0,368.86472939338705
107.0499,-6.0033,78.545,1.597,0.046,0,1374.27421523576
107.2485,-6.1593,59.992,7.055,0.061,0,1377.838498096482
107.1143,-6.3956,61.124,47.778,0.25,0,144.4846226963416
107.0373,-6.3637,66.263,51.932,0.202,1,3079.501085374176
107.1856,-6.1449,62.868,5.911,0.05,1,893.822178191972
107.1559,-6.1918,60.848,9.292,0.08,0,996.4403429640482
107.091,-6.1187,68.314,3.12,0.044,1,278.5193111057089
107.1273,-6.167,63.43,5.555,0.072,0,277.1091720989987
107.0543,-6.2571,63.162,20.065,0.152,1,80.61314185646135
107.0611,-6.1927,66.069,8.214,0.091,1,557.6580003588407
106.9975,-6.1219,71.663,2.309,0.051,1,128.75735878094494
106.9912,-6.3385,64.963,46.555,0.262,1,1686.6837517715496
106.9628,-6.2336,65.182,17.765,0.161,1,846.6579910115713
106.9778,-6.2582,63.905,22.99,0.103,1,530.8433408631554
107.0191,-6.2421,64.017,19.269,0.113,1,458.9266699000296
107.0064,-6.2074,64.99,13.259,0.12,1,39.20430664233279
106.9524,-6.3072,64.373,39.466,0.259,1,792.9220080080489
106.9249,-6.3654,63.06,69.311,0.278,0,1001.6615961187168
106.9836,-6.1989,66.118,10.53,0.136,1,755.1033239475589
107.0166,-6.3076,64.857,32.768,0.179,1,1472.077082665851
106.9299,-6.2691,65.74,24.987,0.142,1,498.17067877224196
106.9282,-6.3095,64.251,38.409,0.242,0,162.10807971313767
106.9942,-6.2812,63.86,27.96,0.131,1,702.5251085913693
106.7369,-6.1515,68.808,5.286,0.059,1,100.97011484089975
106.7865,-6.1634,65.941,6.01,0.06,0,305.1609123726735
